REGION,CLUSTER TYPE,AGE,GENDER,MARITAL STATUS,EDUCATION LEVEL,SOURCE OF INCOME,TYPE OF EMPLOYER,EMPLOYMENT STATUS,FINANCIAL LITERATE,STRUGGLE WITH EXPENSES,SERVICE USED FOR MANAGING MONEY,TYPE OF HEALTH INSTITUTION HE ATTENDS,AWARE OF INSURANCE SERVICES,DONT NEED INSURANCE,TARGET VARIABLE,ins3_1__1,ins3_1__2,ins3_1__3,ins3_1__4,ins3_1__5,ins3_1__6,ins3_1__7,ins3_1__8,ins3_1__9,ins3_1__10,ins3_1__11,ins3_1__12,ins3_1__13,ins3_1__14,ins3_1__15,ins3_1__16,ins3_1__17,ins3_1__18,SATISFIED WITH INSURANCE
Songwe,Rural,30,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Rural,42,Female,Divorced/separated,No formal education,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,50,Female,Divorced/separated,No formal education,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Rural,21,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Rural,32,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Do not take treatment,No,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Rural,17,Male,Single/never married,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,21,Female,Married/living together,No formal education, , , ,FALSE,never,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Rural,28,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Rural,22,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Informal moneylenders,Public health care facility,No,Yes,No, , , , , , , , , , , , , , , , , , , 
Singida,Rural,37,Male,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Rural,29,Male,Married/living together,Some University or other higher education,Salaries/wages from regular job,Government,Full-time throughout the year,TRUE,often,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Rukwa,Rural,28,Female,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Rukwa,Rural,22,Male,Married/living together,Some secondary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Rural,71,Male,Married/living together,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Rural,22,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dar es Salaam,Urban,39,Male,Married/living together,University or higher education completed,Salaries/wages from regular job,Private formal registered business,Full-time throughout the year,TRUE,always,Mobile Money Agents,Private health care facility /consult private doctor,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes
Dar es Salaam,Urban,42,Female,Married/living together,University or higher education completed,Salaries/wages from regular job,Government,Full-time throughout the year,TRUE,often,Banks e.g,Private health care facility /consult private doctor,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes
Tanga,Urban,25,Male,Single/never married,University or higher education completed,Piece work/Casual labor/Occasional jobs, , ,TRUE,always,Mobile Money Agents,Private health care facility /consult private doctor,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,58,Male,Married/living together,Primary completed,Social welfare money/grant from Government, , ,TRUE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Urban,40,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Urban,70,Female,Widowed,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Urban,48,Female,Divorced/separated,Some primary,Piece work/Casual labor/Occasional jobs, , ,TRUE,often,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,28,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Urban,31,Female,Married/living together,Some primary, , , ,FALSE,always, ,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,21,Female,Single/never married,Some University or other higher education,Rely on someone else/others to give/send me money, , ,TRUE,never,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Urban,48,Male,Married/living together,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,27,Male,Married/living together,Some secondary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,"Work for individual/household e.g. security guard, maid etc",Part-time/Seasonally/Occasionally,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,58,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Traditional healer,No,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Urban,37,Male,Married/living together,No formal education,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Urban,16,Female,Single/never married,Some primary,Social welfare money/grant from Government, , ,TRUE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Urban,44,Male,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always, ,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Urban,48,Female,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Banks e.g,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Urban,27,Female,Married/living together,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always, ,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Urban,40,Male,Married/living together,No formal education,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,29,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,43,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Urban,59,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mwanza,Urban,28,Female,Married/living together,Some secondary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Pwani,Urban,57,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Pharmacy,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,46,Female,Married/living together,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Urban,33,Male,Married/living together,Secondary competed-O level,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,TRUE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mara,Urban,75,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,often,Mobile Money Agents,Traditional healer,No,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Urban,53,Female,Married/living together,Primary completed,Rental income, , ,TRUE,always,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,86,Male,Married/living together,Some primary,Pension, , ,TRUE,rarely,Banks e.g,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,63,Female,Married/living together,Primary completed,Rental income, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mbeya,Urban,59,Female,Widowed,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,sometimes,Mobile Money Agents,Pharmacy,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Lindi,Urban,48,Male,Single/never married,Primary completed,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,always,Banks e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mbeya,Urban,47,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Do not take treatment,No,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Urban,55,Male,Divorced/separated,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often, ,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Arusha,Urban,54,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mbeya,Urban,81,Male,Married/living together,No formal education,Rental income, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Rukwa,Urban,50,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,61,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,63,Female,Married/living together,Some primary,Rely on someone else/others to give/send me money, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Urban,56,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Urban,62,Female,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Urban,53,Female,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,sometimes,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
